labels,messages,character_count,word_count,sentence_count,clean_length
1,hear new divorce barbie comes ken stuff,80,20,2,39
0,plane give month end,34,9,1,20
0,wah lucky man save money hee,46,11,1,28
0,finished class,29,6,1,14
0,hi babe home wanna something xx,45,12,2,31
0,k k performed,42,14,1,13
0,call,20,6,1,4
0,waiting machan call free,43,11,2,24
0,thats cool gentleman treat dignity respect,73,16,2,42
0,like peoples much shy pa,50,14,1,24
0,operate lt gt,42,13,1,13
0,still looking job much ta earn,76,20,3,30
0,sorry call later,22,6,1,16
0,k call ah,32,9,1,9
0,ok way home hi hi,32,10,1,17
0,place man,36,9,1,9
0,yup next stop,14,4,1,13
0,call later network urgnt sms,55,16,2,28
0,real getting yo need numbr tickets one jacket done already used multis,121,30,3,70
0,yes started send requests make pain came back back bed double coins factory gotta cash nitros,144,36,3,93
0,really still tonight babe,42,10,1,25
0,ela kano il download come wen free,41,11,1,34
0,yeah û stand close tho û catch something,62,12,2,40
0,sorry pain ok meet another night spent late afternoon casualty means done stuffnumbrmoro includes time sheets sorry,195,44,4,115
0,smile pleasure smile pain smile trouble pours like rain smile sumnumbr hurts smile becoz someone still loves see smiling,141,28,2,120
1,please call customer service representative numbr numbr numbr numbram numbrpm guaranteed ådollersnumbr cash ådollersnumbr prize,139,24,1,127
0,havent planning buy later check already lido got numbr show e afternoon finish work already,107,23,3,91
1,free ringtone waiting collected simply text password mix numbr verify get usher britney fml,125,26,4,91
0,watching telugu movie wat abt,33,8,1,29
0,see finish loads loans pay,51,13,2,26
0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob ham,184,47,5,111
0,please text anymore nothing else say,57,14,2,36
0,okay name price long legal wen pick ave x ams xx,81,23,3,48
0,still looking car buy gone numbrthe driving test yet,76,19,2,52
0,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,183,44,5,116
0,umma life vava umma love lot dear,44,10,1,33
0,thanks lot wishes birthday thanks making birthday truly memorable,95,19,2,65
0,aight hit get cash,43,12,1,18
0,would ip address test considering computer minecraft server,82,15,1,59
0,know grumpy old people mom like better lying always one play jokes,115,28,4,66
0,worry guess busy,30,9,2,16
0,plural noun research,40,9,1,20
0,going dinner msg,31,6,1,16
0,ok wif cos like numbr try new things scared dun like mah cos said loud,96,28,3,70
1,gent trying contact last weekends draw shows ådollersnumbr prize guaranteed call numbr claim code knumbr valid numbrhrs numbrppm,159,32,6,128
0,wa openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,143,34,1,101
0,entered cabin pa said happy b day boss felt special askd numbr lunch lunch invited apartment went,156,40,5,97
1,winner specially selected numbr receive ådollersnumbr numbr holiday flights inc speak live operator numbr claim numbrp min numbr,153,32,1,128
0,goodo yes must speak friday egg potato ratio tortilla needed,72,14,2,60
0,hmm uncle informed paying school directly pls buy food,86,20,2,54
1,private numbr account statement numbr shows numbr unredeemed bonus points claim call numbr identifier code numbr expires,144,23,3,120
1,urgent mobile awarded ådollersnumbr bonus caller prize numbr numbr numbr final try contact call landline numbr boxnumbrwrnumbrc numbrppm,157,30,4,136
0,new address apples pairs malarky,53,12,1,32
1,todays voda numbers ending numbr selected receive dollersnumbr award match please call numbr quoting claim code numbr standard rates app,156,29,2,136
0,going sao mu today done numbr,52,14,2,29
0,ìï predict wat time ì_ finish buying,40,9,1,36
0,good stuff,20,6,1,10
0,know yetunde sent money yet sent text bother sending involve anything imposed anything first place apologise,244,56,4,108
0,room,22,6,1,4
0,hey girl r hope r well del r bak long time c give call sum time lucyxx,107,31,5,70
0,k k much cost,28,11,1,13
0,home,9,4,1,4
0,dear call tmorrow pls accomodate,39,7,1,32
0,first answer question,25,5,1,21
1,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr numbr ådollersnumbr sp tyrone,126,29,3,104
1,want numbr get laid tonight want real dogging locations sent direct numbr mob join uk largest dogging network bt txting gravel numbr nt ecnumbra numbrp msg numbrp,162,36,6,162
0,emailaddress,38,10,2,12
0,call meet,34,9,2,9
0,check rooms befor activities,46,10,2,28
1,rcv msgs chat svc free hardcore services text go numbr get nothing must age verify yr network try,155,35,2,97
0,got c lazy type forgot ì_ lect saw pouch like v nice,86,24,1,52
0,k text way,33,10,1,10
0,sir waiting mail,27,7,1,16
0,swt thought nver get tired little things numbr lovable persons coz somtimes little things occupy biggest part hearts gud ninumbr,158,34,1,128
0,know pls open back,42,12,2,18
0,yes see ya dot,25,7,1,14
0,whats staff name taking class us,48,11,1,32
1,freemsg replied text randy sexy female live local luv hear netcollex ltd numbrp per msg reply stop end,159,35,3,102
0,ummma call check life begin qatar pls pray hard,84,16,1,47
0,k deleted contact,33,9,1,17
0,sindu got job birla soft,30,7,1,24
0,wine flowing nevering,45,11,1,21
0,yup thk cine better cos need numbr go numbr plaza mah,59,16,1,53
0,ok typical reply,25,6,1,16
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one,384,95,5,204
0,aaooooright work,28,6,1,16
0,leaving house,27,7,1,13
0,hello love get interview today happy good boy think missing,157,41,6,59
1,customer service annoncement new years delivery waiting please call numbr arrange delivery,124,21,3,90
1,winner specially selected numbr receive ådollersnumbr cash numbr holiday flights inc speak live operator numbr claim numbr,146,30,1,122
0,keep safe need miss already envy everyone see real life,115,25,1,55
0,new car house parents new job hand,64,19,2,34
0,love excited day spend make happy,85,24,3,33
1,pls stop bootydelious numbr f inviting friend reply yes numbr numbr see www sms ac bootydelious stop send stop frnd numbr,152,29,3,121
1,bangbabes order way receive service msg numbr download content goto wap bangb tv mobile internet service menu,155,35,5,109
0,place points e cultures module already,51,11,1,38
1,urgent trying contact last weekends draw shows ådollersnumbr prize guaranteed call numbr claim code snumbr valid numbrhrs,157,31,5,121
0,hi frnd best way avoid missunderstding wit beloved one,74,16,1,54
0,great escape fancy bridge needs lager see tomo,67,15,3,46
0,yes completely form clark also utter waste,59,16,1,42
0,sir need axis bank account bank address,50,12,1,39
0,hmmm thk sure got time hop ard ya go numbr free abt muz call discuss liao,94,25,1,73
0,time coming later,33,7,1,17
0,bloody hell cant believe forgot surname mr ill give clue spanish begins,105,24,1,71
0,well gonna finish bath good fine night,61,18,2,38
0,let know got money carlos make call,65,15,1,35
0,still going mall,26,7,1,16
0,turns friends staying whole show back til lt gt feel free go ahead smoke dollers lt gt worth,146,43,1,92
0,text doesnt reply let know log,66,17,2,30
0,hi spoke maneesha v like know satisfied experience reply toll free yes,126,29,3,70
0,lifted hopes offer money need especially end month approaches hurts studying anyways grnumbr weekend,159,34,4,100
0,lol trust,23,8,2,9
0,ok gentleman treat dignity respect,65,14,1,34
0,guys close,24,7,1,10
0,going nothing great bye,26,4,1,23
0,hello handsome finding job lazy working towards getting back net mummy boytoy miss,152,33,6,82
0,haha awesome minute,34,8,1,19
1,please call customer service representative freephone numbr numbr numbr numbram numbrpm guaranteed ådollersnumbr cash ådollersnumbr prize,149,25,1,137
0,got xmas radio times get,55,14,2,24
0,jus reached home go bathe first sis using net tell finishes k,88,22,3,61
1,unique enough find numbrth august www areyouunique co uk,72,12,3,56
0,sorry joined league people keep touch mean great deal friend times even great personal cost great week,185,44,5,102
0,hi finally completed course,37,10,1,27
0,stop however suggest stays someone able give ors every stool,111,24,2,60
0,hope settled new school year wishin grnumbr day,92,22,3,47
0,gud mrng dear hav nice day,28,7,1,26
0,got persons story,28,6,1,17
0,hamster dead hey tmr meet numbrpm orchard mrt,64,16,2,45
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx,131,34,4,68
0,found enc lt gt,40,16,1,15
0,sent lt gt bucks,28,11,1,16
0,hello darlin ive finished college txt finish love kate xxx,84,18,1,58
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt,174,44,3,125
0,goodmorning sleeping ga,24,4,1,23
0,call alter numbr ok,25,8,1,19
0,ìï say like dat dun buy ericsson oso cannot oredi lar,64,15,1,53
0,aight yo dats straight dogg,28,6,1,27
0,please give us connection today lt decimal gt refund bill,86,19,1,57
0,shoot big loads get ready,39,11,1,25
0,bruv hope great break rewarding semester,73,18,2,40
0,home always chat,26,6,1,16
0,k k good study well,23,12,1,19
0,yup ì_ noe leh,24,7,1,14
0,sounds great home,31,8,2,17
0,finally match heading towards draw prediction,58,10,1,45
0,tired slept well past nights,48,12,2,28
0,easy ah sen got selected means good,41,10,1,35
0,take exam march numbr,32,8,1,21
0,yeah think use gt atm register sure anyway help let know sure ready,159,40,4,67
0,ok prob take time,25,8,2,17
0,os called ubandu run without installing hard disk use os copy important files system give repair shop,161,33,1,101
0,say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,119,30,3,88
1,numbr new mobiles numbr must go txt nokia numbr collect today ådollersnumbr www numbr tc biz numbroptout numbrgbp mtmsgnumbr,143,27,2,124
0,would really appreciate call need someone talk,69,15,2,46
1,meet dream partner soon career numbr flyng start numbr find free txt horo followed star sign e g horo aries,137,34,3,107
0,hey company elama po mudyadhu,30,6,1,29
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,165,34,2,124
0,dear good morning,34,8,1,17
0,get gandhipuram walk cross cut road right side lt gt street road turn first right,109,28,2,81
0,dear going rubber place,37,8,1,23
0,sorry battery died yeah,33,8,1,23
0,yes tv always available work place,48,12,1,34
1,text meet someone sexy today find date even flirt join numbr numbrp reply name age eg sam numbr numbr msg recd thirtyeight pence,157,39,4,128
0,printed oh lt gt come upstairs,50,16,2,30
0,ill little closer like bus stop street,65,15,1,38
0,wil reach,38,10,1,9
0,new theory argument wins situation loses person argue friends kick amp say always correct,145,37,3,89
1,numbr secret admirer looking numbr make contact find r reveal thinks special call numbr,145,27,1,87
0,tomarrow final hearing laptop case cant,51,11,1,39
0,pleassssssseeeeee tel v avent done sportsx,45,7,1,42
0,okay shining meant signing sounds better,83,21,3,40
0,although told dat baig face watches really like e watch gave cos fr thanx numbr everything dat done today touched,155,38,1,113
0,remember old commercial,37,8,1,23
0,late said website slippers,78,20,3,26
0,asked call ok,30,8,1,13
0,kallis wont bat numbrnd innings,31,7,1,31
0,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,146,34,4,77
1,congratulations awarded numbr cd vouchers numbrgift guaranteed free entry numbr numbr wkly draw txt music numbr tncs www ldew comnumbrwinnumbrppmxnumbragenumbr,150,23,1,159
0,ranjith cal drpd deeraj deepak numbrmin hold,44,8,1,44
0,wen lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,179,41,2,136
0,ups numbrdays also shipping company takes numbrwks way usps takes week gets lag may bribe nipost get stuff,179,40,2,106
0,back lemme know ready,38,11,1,21
0,necessarily expect done get back though headin,97,20,1,46
0,mmm yummy babe nice jolt suzy,43,10,1,29
0,lover need,36,9,2,10
1,tried contact reply offer video handset numbr anytime networks mins unlimited text camcorder reply call numbr,154,31,5,109
0,û parked next mini coming today think,74,20,2,37
0,yup,3,1,1,3
0,anyway going shopping cos sis done yet dun disturb liao,85,22,3,55
0,luton numbr ring around h,51,14,3,25
1,hey really horny want chat see naked text hot numbr text charged numbrpm unsubscribe text stop numbr,121,25,1,100
0,dint come us,26,7,1,12
0,wana plan trip sometme,35,8,2,22
0,sure yet still trying get hold,47,12,1,30
1,ringtone service changed numbr free credits go clubnumbrmobiles com choose content stop txt club stop numbr numbrp wk clubnumbr po boxnumbr mknumbr numbrwt,159,32,6,155
0,evo download flash jealous,47,12,3,26
1,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,133,27,2,94
0,come mu sorting narcotics situation,53,11,1,35
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,147,32,2,103
1,hmv bonus special numbr pounds genuine hmv vouchers answer numbr easy questions play send hmv numbr info www numbrpercent real com,155,30,4,130
0,usf guess might well take numbr car,37,10,1,35
0,objection bf coming,31,8,2,19
0,thanx,8,2,1,5
0,tell rob mack gf theater,38,9,1,24
0,awesome see bit,30,9,1,15
0,sent type food like,47,13,2,19
0,done handed celebrations full swing yet,56,13,3,39
0,got called tool,22,6,1,15
0,wen miss someone,19,4,1,16
0,ok asked money far,29,7,1,18
0,okie,7,2,1,4
0,yeah think usual guy still passed last night get ahold anybody let know throw,121,28,1,77
0,k might come tonight class lets early,58,14,1,37
0,ok,4,2,1,2
0,hi baby cruisin girl friend r numbr give call hour home thats alright fone fone love jenny xxx,148,36,2,94
0,life means lot love life love people life world calls friends call world ge,160,45,1,75
0,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense,152,26,1,127
0,hey told name gautham ah,37,9,1,24
0,haf found feel stupid da v cam working,55,15,2,38
0,oops numbr got bit,21,7,2,18
0,much buzy,22,5,1,9
0,accidentally deleted message resend please,50,9,2,42
1,mobile customer may claim free camera phone upgrade pay go sim card loyalty call numbr numbr numbr offer ends numbrthfeb c apply,159,33,2,128
0,unless situation go gurl would appropriate,67,13,1,42
0,hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl,153,39,1,88
0,cant pick phone right pls send message,51,12,2,38
0,need coffee run tomo believe time week already,67,16,1,46
0,awesome remember last time got somebody high first time diesel v,88,19,1,64
0,shit really shocking scary cant imagine second def night think somewhere could crash night save taxi,157,36,3,100
0,oh way food fridge want go meal tonight,91,23,2,39
0,womdarfull actor,24,5,1,16
1,sms ac blind date numbru roddsnumbr numbr aberdeen united kingdom check http img sms ac w icmbnumbrcktznumbrrnumbr numbr blind dates send hide,146,34,6,142
0,yup remb think book,57,14,1,19
0,jos ask wana meet,26,8,1,17
0,lol yes friendship hanging thread cause buy stuff,71,17,2,49
1,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap numbr,138,30,1,105
0,garage keys bookshelf,55,12,2,21
0,today accept day accept brother sister lover dearnumbr bestnumbr closnumbr lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,156,27,2,152
1,think smart win ådollersnumbr week weekly quiz text play numbr cs winnersclub po box numbr mnumbr numbruz numbr gbpnumbr week,134,33,4,125
0,says give call friend got money definitely buying end week,119,27,1,58
0,hi way numbrday normal way real unique hope know numbr rest mylife hope find wot lost,142,41,3,85
0,made day great day,41,12,2,18
0,k k advance happy pongal,26,7,1,24
0,hmmm guess go numbr kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,119,30,1,95
0,really dude friends afraid,46,12,1,26
1,december mobile numbrmths entitled update latest colour camera mobile free call mobile update co free numbr,157,30,4,107
0,coffee cake guess,23,6,1,17
0,merry christmas babe love ya kisses,51,13,1,35
0,hey go watch x men lunch haha,62,15,1,29
0,cud tell ppl gona b bit lnumbr cos numbr buses hav gon past cos full still waitin numbr numbr pete x,107,28,1,100
0,would great guild could meet bristol road somewhere get touch weekend plans take flight good week,157,36,5,97
0,problem,30,8,2,7
0,hi da todays class,31,10,1,18
0,say good sign well know track record reading women,79,20,1,50
0,cool text parked,32,8,1,16
0,reading text sent meant joke read light,86,23,3,39
0,k k apo k good movie,22,7,1,20
0,maybe could get book tomo return immediately something,76,16,2,54
1,call germany numbr pence per minute call fixed line via access number numbr numbr numbr numbr prepayment direct access,128,27,3,118
0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,232,47,3,124
1,valentines day special win ådollersnumbr quiz take partner trip lifetime send go numbr numbrp msg rcvd custcare numbr,159,32,5,117
0,ta daaaaa home babe still,45,12,2,25
0,cool come havent wined dined,57,13,2,28
0,sleeping surfing,26,5,1,16
0,calling right call hand phone,41,10,2,29
0,ok great thanx lot,28,8,1,18
0,take post come must numbrs texts happy reading one wiv hello caroline end favourite bless,151,35,5,89
0,hiding stranger,29,6,1,15
0,interested like,34,8,1,15
0,sister cleared two round birla soft yesterday,52,10,1,45
0,gudnite tc practice going,33,7,1,25
0,dis yijue jus saw mail case huiming havent sent num dis num,85,24,4,59
0,one small prestige problem,31,6,1,26
1,fancy shag interested sextextuk com txt xxuk suzy numbr txts cost numbr per msg tncs website x,111,24,5,94
0,checking really miss seeing jeremiah great month,78,17,3,48
0,nah help never iphone,50,13,1,21
0,car hour half going apeshit,63,17,1,27
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz fault basically good,148,36,3,93
0,yo guys ever figure much need alcohol jay trying figure much safely spend weed,129,29,2,78
0,lt gt ish minutes numbr minutes ago wtf,45,16,2,39
0,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,202,38,1,143
1,cash balance currently numbr pounds maximize cash send cash numbr numbrp msg cc numbr hg suitenumbr numbrlands row wnumbrjnumbrhl,148,24,2,129
0,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,168,41,4,106
0,hello got st andrews boy long way cold keep posted,85,21,4,50
0,ha ha cool cool chikku chikku db,38,12,1,32
0,oh ok prob,15,5,1,10
0,check audrey status right,31,6,1,25
0,busy trying finish new year looking forward finally meeting,88,19,3,59
0,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,160,37,5,91
0,well know z take care worries,50,14,2,29
1,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins numbr txt orange call mobileupdnumbr numbr callnumbroptout fnumbrq,165,29,4,150
1,discount code rpnumbr stop messages reply stop www regalportfolio co uk customer services numbr,129,19,4,95
0,wat uniform get,26,7,2,15
0,cool text ready,31,8,1,15
0,hello boytoy geeee miss already woke wish bed cuddling love,129,32,3,59
0,spoil bed well,34,10,1,14
0,going bath msg next lt gt min,54,18,1,29
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay,162,38,2,87
1,thanks ringtone order reference tnumbr charged gbp numbr per week unsubscribe anytime calling customer services numbr,157,29,3,117
0,say happen,23,5,1,10
0,could seen recognise face,53,14,2,25
0,well lot things happening lindsay new years sighs bars ptbo blue heron something going,131,28,1,86
0,keep payasam rinu brings,36,7,1,24
0,taught ranjith sir called sms like becaus hes verifying project prabu told today pa mistake,143,31,4,91
0,guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin,300,70,6,141
0,yeah sure give couple minutes track wallet,59,13,1,42
0,hey leave big deal take care,42,14,2,28
0,hey late ah meet numbr,41,11,1,22
1,double mins txts numbr numbrmonths free bluetooth orange available sony nokia motorola phones call mobileupdnumbr numbr callnumbroptout nnumbrdx,149,25,3,144
0,took mr owl numbr licks,22,6,1,23
0,customer place call,31,7,1,19
0,mm time like fun,30,7,1,16
1,numbrmths half price orange line rental latest camera phones numbr free phone numbrmths call mobilesdirect free numbr update ornumbrstoptxt,155,28,4,139
0,yup lunch buffet eat already,47,11,1,28
0,huh late fr dinner,25,7,1,18
0,hey sat going intro pilates kickboxing,80,18,2,38
0,morning ok,22,6,1,10
0,yes think office lap room think thats last days didnt shut,115,30,3,58
0,pick bout numbrish time going,56,13,2,29
0,performance award calculated every two month current one month period,102,17,1,69
0,actually sleeping still might call back text grnumbr rock sis send text wen wake,118,30,4,80
0,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated,221,49,4,129
0,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,204,39,1,156
0,hmmm k want change field quickly da wanna get system administrator network administrator,114,26,1,88
1,free ringtone text first numbr poly text get numbr true tone help numbr numbr numbr numbrst free tones numbrxådollersnumbrpw eådollersnd txt stop,158,35,3,145
0,dear chechi talk,39,10,2,16
0,hair cream shipped,36,8,1,18
0,none happening til get though,48,10,1,29
0,yep great loxahatchee xmas tree burning lt gt starts hour,77,20,1,57
0,haha get used driving usf man know lot stoners,60,15,1,46
0,well slightly disastrous class pm fav darlings hope day ok coffee wld good stay late tomorrow time place always,168,36,3,111
0,hello good week fancy drink something later,51,12,3,43
0,headin towards busetop,22,3,1,22
0,message text missing sender name missing number missing sent date missing missing lot thats everything missing sent via fullonsms com,152,32,1,133
0,come room point iron plan weekend,75,17,1,33
0,cos want thing,30,8,1,14
0,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,95,26,1,67
0,bring home wendy,24,5,1,16
1,numbr dating service cal l numbr boxnumbrsknumbrch,49,8,1,50
0,whatsup want sleep,35,8,2,18
0,alright new goal,29,7,1,16
1,free entry ådollersnumbr weekly competition text word win numbr numbr c www txttowin co uk,107,21,2,90
0,alright head minutes text meet,66,17,1,30
1,send logo numbr lover numbr names joined heart txt love namenumbr namenumbr mobno eg love adam eve numbr numbr yahoo poboxnumbrwnumbrwq txtno numbr ads numbrp,159,34,3,158
0,yes last week taking live call,48,13,1,30
1,someone contacted dating service entered phone fancy find call landline numbr poboxnumbrnnumbrtfnumbrp,162,28,2,102
0,siva hostel aha,24,8,1,15
1,urgent mobile number awarded ådollersnumbr prize guaranteed call numbr land line claim numbr valid numbrhrs,137,25,4,107
0,send friends receive something voice speaking expression numbr childish numbr naughty numbr sentiment numbr rowdy numbr ful attitude numbr romantic numbr shy numbr attractive numbr funny lt gt irritating lt gt lovable reply,248,49,3,223
0,ok ok guess,25,7,1,11
0,aathi dear,27,7,1,10
0,pain urination thing else,37,8,1,25
0,numbr esplanade ì_ mind giving lift cos got car today,69,18,1,53
0,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob,150,44,2,100
0,home watching tv lor,24,6,1,20
0,usually take fifteen fucking minutes respond yes question,80,15,1,57
1,congrats nokia numbr video camera phone call numbr calls cost numbrppm ave call numbrmins vary mobiles numbr close numbr post bcmnumbr ldn wcnumbrnnumbrxx,157,27,2,154
0,booked ticket pongal,25,5,1,20
0,available like right around hillsborough amp lt gt th,73,21,2,53
0,message sent askin lt gt dollars shoul pay lt gt lt gt,89,34,2,54
0,ask g iouri told story like ten times already,58,14,1,45
0,long applebees fucking take,36,6,1,27
0,hi hope get txt journey hasnt gd numbr mins late think,76,18,1,54
0,like love arrange,47,13,2,17
0,yes really great bhaji told kallis best cricketer sachin world tough get,104,24,1,72
0,supposed wake gt,38,12,1,16
0,oic saw tot din c found group liao,69,20,1,34
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,66,10,2,61
0,sorry battery died come getting gram place,94,25,1,42
0,well done blimey exercise yeah kinda remember wot hmm,70,18,1,53
0,wont get concentration dear know mind everything,73,16,1,48
0,lol made plans new years,42,10,1,24
0,numbr min later k,17,5,1,17
0,hanks lotsly,13,3,1,12
0,thanks hope good day today,45,10,1,26
0,k k detail want transfer acc enough,57,18,1,35
0,ok tell stay yeah tough optimistic things improve month,105,23,2,55
1,loan purpose ådollersnumbr ådollersnumbr numbr homeowners tenants welcome previously refused still help call free numbr numbr text back help,164,33,5,140
0,si si think ill go make oreo truffles,47,12,2,37
0,look amy beautiful intelligent woman like lot know donåõt like like donåõt worry,117,28,2,80
0,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl,158,31,3,95
0,numbr call cost guess isnt bad miss ya need ya want ya love ya,79,22,3,62
